payment_date,payment_method,payment_attempts,successful_attempts,failed_attempts,final_successful_trips,payment_success_rate,avg_attempts_per_trip,total_success_amount_inr
2026-01-04,wallet,857,857,0,857,1.0000000000000000,1.0000000000000000,376208.49
2026-01-07,wallet,874,874,0,874,1.0000000000000000,1.0000000000000000,375173.49
2026-01-08,wallet,858,858,0,858,1.0000000000000000,1.0000000000000000,393521.06
2026-01-04,upi,2573,859,1714,859,0.3338515351729499,1.4968004653868528,370599.81
2026-01-06,upi,2508,849,1659,849,0.3385167464114833,1.5044991001799640,383801.23
2026-01-10,upi,2510,837,1673,837,0.3334661354581673,1.4976133651551313,394319.45
2026-01-01,upi,2454,814,1640,814,0.3317033414832926,1.4927007299270073,363240.15
2026-01-03,wallet,872,872,0,872,1.0000000000000000,1.0000000000000000,392800.95
2026-01-05,upi,2677,884,1793,884,0.3302203959656332,1.4921962095875139,389977.85
2026-01-08,upi,2649,894,1755,894,0.3374858437146093,1.5051136363636364,396015.87
2026-01-12,cash,372,372,0,372,1.0000000000000000,1.0000000000000000,158194.94
2026-01-13,wallet,448,448,0,448,1.0000000000000000,1.0000000000000000,199815.96
2026-01-14,wallet,426,426,0,426,1.0000000000000000,1.0000000000000000,180597.62
2026-01-06,wallet,819,819,0,819,1.0000000000000000,1.0000000000000000,351355.17
2026-01-09,wallet,857,857,0,857,1.0000000000000000,1.0000000000000000,369905.37
2026-01-03,upi,2658,893,1765,893,0.3359668924003010,1.5000000000000000,424099.95
2026-01-14,cash,439,439,0,439,1.0000000000000000,1.0000000000000000,199790.06
2026-01-11,wallet,783,783,0,783,1.0000000000000000,1.0000000000000000,356355.37
2026-01-11,card,50,50,0,50,1.0000000000000000,1.0000000000000000,24001.64
2026-01-07,upi,2584,858,1726,858,0.3320433436532508,1.4910559723023658,387512.00
2026-01-12,upi,841,518,323,518,0.6159334126040428,1.2385861561119293,227502.98
2026-01-14,card,459,459,0,459,1.0000000000000000,1.0000000000000000,211154.59
2026-01-12,wallet,527,527,0,527,1.0000000000000000,1.0000000000000000,238489.68
2026-01-09,upi,2514,830,1684,830,0.3301511535401750,1.4866942637492608,375614.74
2026-01-10,wallet,840,840,0,840,1.0000000000000000,1.0000000000000000,377025.24
2026-01-13,card,427,427,0,427,1.0000000000000000,1.0000000000000000,192058.36
2026-01-05,wallet,908,908,0,908,1.0000000000000000,1.0000000000000000,412297.33
2026-01-01,wallet,825,825,0,825,1.0000000000000000,1.0000000000000000,362146.48
2026-01-11,cash,53,53,0,53,1.0000000000000000,1.0000000000000000,25194.26
2026-01-13,upi,436,436,0,436,1.0000000000000000,1.0000000000000000,202458.39
2026-01-13,cash,429,429,0,429,1.0000000000000000,1.0000000000000000,192266.21
2026-01-11,upi,2193,770,1423,770,0.3511171910624715,1.4747814391392065,347324.34
2026-01-14,upi,459,459,0,459,1.0000000000000000,1.0000000000000000,200576.94
2026-01-02,wallet,838,838,0,838,1.0000000000000000,1.0000000000000000,372342.42
2026-01-02,upi,2476,819,1657,819,0.3307754442649435,1.4906682721252258,362837.89
2026-01-12,card,366,366,0,366,1.0000000000000000,1.0000000000000000,160370.06
