operation_date,service_type,trip_requests,completed_trips,cancelled_trips,unfulfilled_trips,completion_rate,cancellation_rate,unfulfilled_rate,avg_response_minutes,avg_trip_duration_minutes,avg_final_fare_inr
2026-01-01,sedan,496,323,111,62,0.6512096774193548,0.2237903225806452,0.1250000000000000,3.71547619047619,48.42131062951497,657.196347
2026-01-06,bike_taxi,582,356,153,73,0.6116838487972509,0.2628865979381443,0.1254295532646048,3.764931237721022,46.45730337078651,270.038539
2026-01-13,bike_taxi,592,381,152,59,0.6435810810810811,0.2567567567567568,0.0996621621621622,3.760225140712946,47.228608923884515,278.224882
2026-01-14,auto,817,548,175,94,0.6707466340269278,0.2141982864137087,0.1150550795593635,3.654610419548179,46.41444647201946,386.453394
2026-01-14,bike_taxi,614,375,164,75,0.6107491856677524,0.2671009771986971,0.1221498371335505,3.663481756338899,47.24915555555556,272.165867
2026-01-08,sedan,552,369,119,64,0.6684782608695652,0.2155797101449275,0.1159420289855072,3.617657103825137,49.512466124661245,673.852791
2026-01-03,bike_taxi,632,395,156,81,0.6250000000000000,0.2468354430379747,0.1281645569620253,3.5926194797338176,47.75371308016877,267.922076
2026-01-07,bike_taxi,600,389,151,60,0.6483333333333333,0.2516666666666667,0.1000000000000000,3.631203703703704,45.93766066838046,269.173368
2026-01-06,sedan,492,294,124,74,0.5975609756097561,0.2520325203252033,0.1504065040650407,3.8996810207336523,45.71615646258503,652.325442
2026-01-12,auto,808,519,179,110,0.6423267326732673,0.2215346534653465,0.1361386138613861,3.607736389684814,47.71560693641619,380.986628
2026-01-06,auto,748,491,182,75,0.6564171122994652,0.2433155080213904,0.1002673796791444,3.6213719663199604,47.57556008146639,380.643381
2026-01-10,sedan,480,304,111,65,0.6333333333333333,0.2312500000000000,0.1354166666666667,3.804377510040161,48.469298245614034,692.380099
2026-01-05,mini,872,576,188,108,0.6605504587155963,0.2155963302752294,0.1238532110091743,3.714092495636998,46.653443287037035,490.654097
2026-01-08,bike_taxi,565,355,138,72,0.6283185840707965,0.2442477876106195,0.1274336283185841,3.609364435429344,46.17253521126761,259.009465
2026-01-03,mini,845,548,194,103,0.6485207100591716,0.2295857988165680,0.1218934911242604,3.699887690925427,46.25100364963503,505.450949
2026-01-04,sedan,522,344,122,56,0.6590038314176245,0.2337164750957854,0.1072796934865900,3.594599427753934,47.41991279069768,651.823488
2026-01-11,mini,749,497,169,83,0.6635514018691589,0.2256341789052069,0.1108144192256342,3.7437187187187186,47.36646545942321,506.782435
