driver_id,home_zone_id,vehicle_type,service_type,status,rating,tenure_days
DRV-000008,ZON-112,bike,bike_taxi,active,3.67,996
DRV-000009,ZON-037,auto,auto,active,4.78,14
DRV-000010,ZON-071,auto,auto,active,4.93,526
DRV-000011,ZON-091,sedan,sedan,active,4.67,964
DRV-000012,ZON-089,sedan,sedan,active,4.69,1012
DRV-000013,ZON-019,auto,auto,active,3.66,1073
DRV-000014,ZON-094,bike,bike_taxi,inactive,3.76,792
DRV-000015,ZON-043,auto,auto,active,3.80,679
DRV-000016,ZON-015,bike,bike_taxi,active,3.58,320
DRV-000017,ZON-024,auto,auto,active,4.98,779
DRV-000018,ZON-056,mini,mini,active,4.67,676
DRV-000019,ZON-094,mini,mini,active,4.98,521
DRV-000020,ZON-079,mini,mini,active,3.29,868
DRV-000021,ZON-080,mini,mini,active,3.83,1183
DRV-000022,ZON-076,sedan,sedan,active,3.71,680
DRV-000023,ZON-074,sedan,sedan,active,4.19,94
DRV-000024,ZON-021,bike,bike_taxi,active,3.32,1054
DRV-000025,ZON-110,bike,bike_taxi,active,4.99,640
DRV-000026,ZON-089,auto,auto,active,3.44,124
DRV-000027,ZON-093,mini,mini,active,3.61,197
DRV-000028,ZON-100,auto,auto,active,4.03,17
DRV-000029,ZON-119,sedan,sedan,active,3.90,762
DRV-000030,ZON-022,sedan,sedan,active,3.72,953
DRV-000031,ZON-018,bike,bike_taxi,active,4.68,309
DRV-000032,ZON-025,sedan,sedan,active,4.90,396
DRV-000033,ZON-090,mini,mini,active,3.68,576
DRV-000034,ZON-037,auto,auto,active,3.65,506
DRV-000035,ZON-006,mini,mini,active,3.29,492
DRV-000036,ZON-077,auto,auto,active,4.48,813
DRV-000037,ZON-016,bike,bike_taxi,active,4.16,594
DRV-000038,ZON-011,auto,auto,active,4.91,133
DRV-000039,ZON-010,sedan,sedan,active,3.63,163
DRV-000040,ZON-091,auto,auto,active,3.91,24
DRV-000041,ZON-109,mini,mini,active,3.38,886
DRV-000042,ZON-053,bike,bike_taxi,active,4.80,688
DRV-000043,ZON-030,auto,auto,active,3.24,873
DRV-000044,ZON-120,auto,auto,active,4.33,94
DRV-000045,ZON-022,sedan,sedan,active,4.43,1063
DRV-000046,ZON-097,auto,auto,active,3.23,882
DRV-000047,ZON-079,auto,auto,active,4.38,1001
DRV-000048,ZON-015,bike,bike_taxi,active,4.34,325
DRV-000049,ZON-015,sedan,sedan,active,3.67,689
DRV-000050,ZON-101,sedan,sedan,active,3.37,21
DRV-000051,ZON-096,bike,bike_taxi,active,3.85,382
DRV-000052,ZON-013,mini,mini,active,3.60,427
DRV-000053,ZON-046,auto,auto,active,4.90,414
DRV-000054,ZON-096,mini,mini,active,4.88,291
DRV-000055,ZON-113,auto,auto,active,3.62,12
DRV-000056,ZON-089,sedan,sedan,active,3.22,1118
DRV-000057,ZON-002,sedan,sedan,active,4.20,187
DRV-000058,ZON-106,mini,mini,active,3.32,115
DRV-000059,ZON-012,bike,bike_taxi,active,4.59,1067
DRV-000060,ZON-066,bike,bike_taxi,active,4.14,633
DRV-000061,ZON-004,mini,mini,active,3.62,342
DRV-000062,ZON-080,auto,auto,active,4.49,730
DRV-000063,ZON-060,bike,bike_taxi,active,4.22,228
