zone_id,zone_name,zone_type,city_code,demand_band,is_active
ZON-001,TPC Zone 001,residential,TPC,low,true
ZON-002,TPC Zone 002,commercial,TPC,medium,true
ZON-003,TPC Zone 003,transit_hub,TPC,high,true
ZON-004,TPC Zone 004,education,TPC,low,true
ZON-005,TPC Zone 005,mixed_use,TPC,medium,true
ZON-006,TPC Zone 006,airport,TPC,high,true
ZON-007,TPC Zone 007,residential,TPC,low,true
ZON-008,TPC Zone 008,commercial,TPC,medium,true
ZON-009,TPC Zone 009,transit_hub,TPC,high,true
ZON-010,TPC Zone 010,education,TPC,low,true
ZON-011,TPC Zone 011,mixed_use,TPC,medium,true
ZON-012,TPC Zone 012,airport,TPC,high,true
ZON-013,TPC Zone 013,residential,TPC,low,true
ZON-014,TPC Zone 014,commercial,TPC,medium,true
ZON-015,TPC Zone 015,transit_hub,TPC,high,true
ZON-016,TPC Zone 016,education,TPC,low,true
ZON-017,TPC Zone 017,mixed_use,TPC,medium,true
ZON-018,TPC Zone 018,airport,TPC,high,true
ZON-019,TPC Zone 019,residential,TPC,low,true
ZON-020,TPC Zone 020,commercial,TPC,medium,true
ZON-021,TPC Zone 021,transit_hub,TPC,high,true
ZON-022,TPC Zone 022,education,TPC,low,true
ZON-023,TPC Zone 023,mixed_use,TPC,medium,true
ZON-024,TPC Zone 024,airport,TPC,high,true
ZON-025,TPC Zone 025,residential,TPC,low,true
ZON-026,TPC Zone 026,commercial,TPC,medium,true
ZON-027,TPC Zone 027,transit_hub,TPC,high,true
ZON-028,TPC Zone 028,education,TPC,low,true
ZON-029,TPC Zone 029,mixed_use,TPC,medium,true
ZON-030,TPC Zone 030,airport,TPC,high,true
ZON-031,TPC Zone 031,residential,TPC,low,true
ZON-032,TPC Zone 032,commercial,TPC,medium,true
ZON-033,TPC Zone 033,transit_hub,TPC,high,true
ZON-034,TPC Zone 034,education,TPC,low,true
ZON-035,TPC Zone 035,mixed_use,TPC,medium,true
ZON-036,TPC Zone 036,airport,TPC,high,true
ZON-037,TPC Zone 037,residential,TPC,low,true
ZON-038,TPC Zone 038,commercial,TPC,medium,true
ZON-039,TPC Zone 039,transit_hub,TPC,high,true
ZON-040,TPC Zone 040,education,TPC,low,true
ZON-041,TPC Zone 041,mixed_use,TPC,medium,true
ZON-042,TPC Zone 042,airport,TPC,high,true
